StarterState,604,11,16
TripCode,619,8,16
Initialisation,604,9,10
CommandSource,604,8,9
ParametersChange,604,7,8
PhaseSequence,604,6,7
Versions_Product,600,0,7
Versions_Model,601,0,8
PowerScale,608,2,4
DigitalInput_StartStop,618,15,16
DigitalInput_Reserved,618,14,15
DigitalInput_Reset,618,13,14
DigitalInput_InputA,618,12,13
DigitalInput_InputB,618,11,12
