StartPerHour,10st,20st,30st,40st,50st,60st,70st,80st,90st,100st
SKKT57,58.2,58,57.5,56.9,56.3,55.5,54.8,54,53.2,52.5
MTC90,96.8,96.4,95.5,94.2,92.7,91.1,89.4,87.8,86.1,84.4
MTC135,140.5,137.6,134.8,132,129.3,126.6,124.1,121.8,119.5,117.5
MTC160,192.2,188.1,183.9,179.7,175.6,171.4,167.3,163.3,159.5,155.8
MTC182,213.2,208.9,204.6,200.2,195.9,191.5,187.2,183,178.8,174.7
MTC300,352.3,337.2,325,315.5,308.2,302.2,297.4,293.2,289.6,286.4
Y38K-10-16,657,622.5,593,569.5,550.8,536,524,514.3,506,499
T830N16,801.7,765.2,731,699.3,669.5,641.8,616.1,592.6,570.9,551
T940,892.3,865.8,838.7,812.3,787,762.5,738.8,715.8,693.8,672.4
